district,district_malayalam,cases,recovered,deaths,zone,zone_updated_on
Total,ആകെ,7438,3963,29.0,,
Alappuzha,ആലപ്പുഴ,588,261,1.0,Green,2020-05-02
Ernakulam,എറണാകുളം,455,180,3.0,Green,2020-05-02
Idukki,ഇടുക്കി,192,96,0.0,Orange,2020-05-02
Kannur,കണ്ണൂർ,693,342,4.0,Red,2020-05-02
Kasaragod,കാസർഗോഡ്,584,443,0.0,Orange,2020-05-02
Kollam,കൊല്ലം,491,325,3.0,Orange,2020-05-02
Kottayam,കോട്ടയം,316,175,0.0,Red,2020-05-02
Kozhikode,കോഴിക്കോട്,399,222,1.0,Orange,2020-05-02
Malappuram,മലപ്പുറം,948,449,5.0,Orange,2020-05-02
Palakkad,പാലക്കാട്,824,538,1.0,Orange,2020-05-02
Pathanamthitta,പത്തനംതിട്ട,492,279,1.0,Orange,2020-05-02
Thiruvananthapuram,തിരുവനന്തപുരം,702,184,6.0,Orange,2020-05-02
Thrissur,തൃശ്ശൂർ,603,388,3.0,Green,2020-05-02
Wayanad,വയനാട്,151,85,1.0,Orange,2020-05-02
Unspecified,വ്യക്തമാക്കാത്ത,0,-4,,,
