date,confirmed,recovered,deceased,critical,active,tested,observation,home_observation,hospitalised,status
2020-01-30,1,,0,,1,0,0,0,0,Finalised
2020-01-31,1,,0,,1,0,1471,1421,50,Finalised
2020-02-01,1,,0,,1,39,1793,1723,70,Finalised
2020-02-02,2,,0,,2,106,1999,1924,75,Finalised
2020-02-03,3,,0,,3,140,2239,2155,84,Finalised
2020-02-04,3,,0,,3,190,2421,2321,100,Finalised
2020-02-05,3,,0,,3,223,2528,2435,93,Finalised
2020-02-06,3,,0,,3,263,2826,2743,83,Finalised
2020-02-07,3,,0,,3,285,3014,2953,61,Finalised
2020-02-08,3,,0,,3,330,3144,3099,45,Finalised
2020-02-09,3,,0,,3,345,3252,3218,34,Finalised
2020-02-10,3,,0,,3,364,3367,3336,31,Finalised
2020-02-11,3,,0,,3,380,3447,3420,27,Finalised
2020-02-12,3,,0,,3,389,2455,2431,24,Finalised
2020-02-13,3,,0,,3,402,2397,2375,22,Finalised
2020-02-14,3,,0,,3,408,2288,2272,16,Finalised
2020-02-15,3,,0,,3,415,2210,2194,16,Finalised
2020-02-16,3,,0,,3,418,2276,2262,14,Finalised
2020-02-17,3,,0,,3,423,2246,2233,13,Finalised
2020-02-18,3,,0,,3,425,2222,2209,13,Finalised
2020-02-19,3,,0,,3,432,2242,2234,8,Finalised
2020-02-20,3,,0,,3,433,914,907,7,Finalised
2020-02-21,3,,0,,3,437,711,706,5,Finalised
2020-02-22,3,,0,,3,441,142,137,5,Finalised
2020-02-23,3,,0,,3,444,127,122,5,Finalised
2020-02-24,3,,0,,3,449,135,128,7,Finalised
2020-02-25,3,,0,,3,451,126,118,8,Finalised
2020-02-26,3,,0,,3,460,132,130,2,Finalised
2020-02-27,3,,0,,3,462,135,128,7,Finalised
2020-02-28,3,,0,,3,471,136,128,8,Finalised
2020-02-29,3,,0,,3,485,191,181,10,Finalised
2020-03-01,3,,0,,3,488,206,193,13,Finalised
2020-03-02,3,,0,,3,504,293,276,17,Finalised
2020-03-03,3,,0,,3,520,411,388,23,Finalised
2020-03-04,3,,0,,3,552,469,438,31,Finalised
2020-03-05,3,,0,,3,574,547,508,39,Finalised
2020-03-06,3,,0,,3,631,592,546,46,Finalised
2020-03-07,3,,0,,3,682,637,574,63,Finalised
2020-03-08,3,,0,,3,729,732,648,84,Finalised
2020-03-09,9,,0,,9,807,1116,967,149,Finalised
